fcstDate,fcstTime,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
20251104,0600,강수없음,30,0,80,4,적설없음,,5,,-1,90,0,-999,1.1
20251104,0700,강수없음,20,0,80,3,적설없음,,5,,-0.9,96,0.1,-999,1
20251104,0800,강수없음,20,0,80,3,적설없음,,6,,-0.8,90,0,-999,0.9
20251104,0900,강수없음,0,0,70,1,적설없음,,8,,-0.8,90,0,-999,0.9
20251104,1000,강수없음,0,0,65,1,적설없음,,10,,-0.5,63,-0.3,-999,0.7
20251104,1100,강수없음,0,0,60,1,적설없음,,12,,-0.5,56,-0.4,-999,0.7
20251104,1200,강수없음,0,0,60,1,적설없음,,13,,-0.3,53,-0.3,-999,0.5
20251104,1300,강수없음,0,0,55,1,적설없음,,14,,0,359,-0.1,-999,0.1
20251104,1400,강수없음,0,0,55,1,적설없음,,15,,0.5,301,-0.3,-999,0.6
20251104,1500,강수없음,0,0,55,1,적설없음,,15,16.0,0.6,310,-0.5,-999,0.8
20251104,1600,강수없음,0,0,55,1,적설없음,,15,,0.7,322,-0.9,-999,1.1
20251104,1700,강수없음,0,0,65,1,적설없음,,13,,0.8,328,-1.3,-999,1.5
20251104,1800,강수없음,0,0,75,1,적설없음,,12,,0.6,338,-1.5,-999,1.6
20251104,1900,강수없음,0,0,75,1,적설없음,,11,,0.3,348,-1.4,-999,1.4
20251104,2000,강수없음,0,0,75,1,적설없음,,10,,0,360,-0.9,-999,0.9
20251104,2100,강수없음,0,0,80,1,적설없음,,9,,-0.2,23,-0.7,-999,0.8
20251104,2200,강수없음,0,0,85,1,적설없음,,9,,-0.5,56,-0.4,-999,0.7
20251104,2300,강수없음,0,0,85,1,적설없음,,8,,-0.4,45,-0.5,-999,0.7
20251105,0000,강수없음,0,0,85,1,적설없음,,8,,-0.5,41,-0.7,-999,0.9
20251105,0100,강수없음,0,0,85,1,적설없음,,7,,-0.7,49,-0.7,-999,1.1
